Format Import Sarana					RS Umum  Mutia Sari			
Kode Faskes	1408055							
Form	f1							
								
mark	Sarana			Tersedia	Tahun		Kondisi	Keterangan
1472			Ruang Periksa 3	-			Baik	
1474			Ruang Aplikasi	-			Baik	
1475			Ruangan Scrup up	-			Baik	
1476			Nurse Station	-			Baik	
1477			Ruang Bilas	-			Baik	
1478			Ruangan Isotop	-			Baik	
1479			Ruang Gelap	-			Baik	
1480			Ruangan Blood Iradiator	-			Baik	
1481			Ruang CT Planning	-			Baik	
1482			Ruangan Masker	-			Baik	
**		Instalasi Radiodiagnostik						
1240			Ruangan Ahli Fisika Medik	-			Baik	
1242			Ruangan Fluoroskopi (Ruang Pemeriksaan/ Diagnostik)	-			Baik	
1243			Ruangan Mammografi (Ruang Pemeriksaan/ Diagnostik)	-			Baik	
1255			KM/WC Petugas	-			Baik	
1247			Ruangan Dental X-Ray + Panoramic (Ruang Pemeriksaan/ Diagnostik)	-			Baik	
1248			Ruangan Pemeriksaan/ Diagnostik Sp. Jantung & Pembuluh Darah (Tindakan)/ Kamar Cath Lab	-			Baik	
1249			Ruangan MRI (Ruang Pemeriksaan/ Diagnostik)	-			Baik	
1236			Ruangan Tunggu Pasien & Pengantar Pasien	Ada	2016		Baik	
1237			Ruangan Administrasi dan Rekam Medik	Ada	2016		Baik	
1238			Loket Pendaftaran, pembayaran dan pengambilan hasil	Ada	2016		Baik	
1244			Ruangan Ultra Sonografi/ USG (Ruang Pemeriksaan/ Diagnostik)	Ada	2016		Baik	
1252			Ruangan Jaga Radiografer	Ada	2016		Baik	
1253			Gudang penyimpanan berkas	Ada	2016		Baik	
1239			Ruangan Konsultasi Dokter	Ada	2018		Baik	
1246			Ruangan Mobil X-Ray (Ruang Pemeriksaan/ Diagnostik)	Ada	2016		Baik	
1251			Kamar Processing Film (digital ataupun AFP Kering)	Ada	2015		Baik	
1254			Gudang penyimpanan Film dan Non Film	Ada	2015		Baik	
1250			KM/ WC Pasien	Ada	2016		Baik	
1241			Ruangan General X-ray (Ruang Pemeriksaan/ Diagnostik) 	Ada	2016		Baik	
1245			"Ruangan CT-Scan (R.Operator, R.Mesin, R.Ganti) ; Ruang Pemeriksaan/ Diagnostik"	-			Baik	
**		Instalasi Laboratorium						
1084			Ruangan Tunggu Pasien dan Pengantar Pasien	Ada	2016		Baik	
1087			Ruangan Administrasi dan Rekam Medis	Ada	2016		Baik	
1090			Ruangan Pengambilan/Penerimaan Bahan/Sampel	Ada	2016		Baik	
1093			Ruangan Flebotomi	Ada	2016		Baik	
1097			Ruangan Sputum/Dahak	Ada	2016		Baik	
1099			Ruangan Urin/Tinja	Ada	2016		Baik	
1101			Ruangan Spesimen Lain (Pus, Kerokan Kulit, dll)	Ada	2016		Baik	
1103			Ruangan Spesimen Genital	Ada	2016		Baik	
1109			Ruangan Imunologi (Ruang Pemeriksaan)	Ada	2016		Baik	
1111			Ruangan Kimia Klinik (Ruang Pemeriksaan)	Ada	2016		Baik	
1112			Ruangan Urin/Tinja (Ruang Pemeriksaan)	Ada	2016		Baik	
1113			Ruangan Hematologi (Ruang Pemeriksaan)	Ada	2016		Baik	
1119			Ruangan Penyimpanan Bahan Habis Pakai dan Reagen (Ruang Pemeriksaan)	Ada	2016		Baik	
1121			Ruangan Arsip (Ruang Pemeriksaan)	Ada	2016		Baik	
1122			Ruangan Administrasi Hasil (Ruang Pemeriksaan)	Ada	2016		Baik	
1158			Ruangan Kepala Laboratorium Medik 	Ada	2016		Baik	
1169			Toilet Staf	Ada	2016		Baik	
1157			Ruangan Cuci Peralatan 	Ada	2015	2018	Baik	
1106			Ruangan Bank Darah	-			Baik	
1167			Ruangan Musholla	Ada	2016	2018	Baik	
1171			Toilet Pasien	Ada	2016		Baik	
1104			Ruangan Pengolahan Sampel	Ada	2016		Baik	
1152			Ruangan Penyimpanan  dan Ganti Pakaian Staf 	Ada	2016		Baik	
1155			Ruangan Makan/Pantry Staf	Ada	2016		Baik	
1161			Ruangan Diskusi/Rapat	Ada	2016		Baik	
1164			Ruangan Koordinator Laboratorium	Ada	2016		Baik	
1165			Ruangan Petugas Laboratorium	Ada	2016		Baik	
1107			Ruangan Konsultasi	-			Baik	
1114			Ruangan Mikrobiologi (Ruang Pemeriksaan)	-			Baik	
1117			Ruangan Patologi Anatomi (Ruang Pemeriksaan)	-			Baik	
1118			Ruangan Biologi Molekuler (Ruang Pemeriksaan)	-			Baik	
1120			Ruangan IT, Server (Ruang Pemeriksaan)	-			Baik	
1123			Ruangan Kerja Dokter (Ruang Pemeriksa Hasil)	-			Baik	
1134			Ruangan Produksi (Ruang Khusus)	-			Baik	
1137			Ruangan Penanaman Kuman TB (Ruang Khusus)	-			Baik	
1140			Ruangan Potong Jaringan Patologi Anatomik (Ruang Khusus)	-			Baik	
1142			Ruangan Penyimpanan Jaringan Patologi Anatomik (Ruang Khusus)	-			Baik	
1144			Ruangan Mikrotom (Ruang Khusus)	-			Baik	
1145			Ruangan Histologi (Ruang Khusus)	-			Baik	
1150			Ruangan Imuno Histokimia (Ruang Khusus)	-			Baik	
155			Laboratorium	-			Baik	
**		Instalasi Rehabilitasi Medik						
1291			Ruangan Pemeriksaan/ Penilaian Dokter	Ada	2016		Baik	
1294			Loket Pendaftaran dan Pendataan	Ada	2016		Baik	
1298			Ruangan Tunggu Pasien & Pengantar Pasien	Ada	2016		Baik	
1299			Ruangan Diagnostik Dokter	Ada	2016		Baik	
1300			Ruangan Terapi Psikologi	Ada	2016		Baik	
1301			Ruangan Fisioterapi Pasif	Ada	2016		Baik	
1303			Ruangan Fisioterapi Aktif	Ada	2016		Baik	
1295			Ruangan Administrasi, Keuangan dan Personalia	Ada	2015		Baik	
1306			Ruangan Senam (Gymnasium)	-			Baik	
1307			Ruangan Hidroterapi (Incl R. Ganti, Toilet)	-			Baik	
1309			Ruangan Terapi Okupasi	Ada	2012		Baik	
1313			Ruangan Sensori Intergrasi (SI) Anak	Ada	2016		Baik	
1316			Ruangan Relaksasi/ Perangsangan Audio-Visual	-			Baik	
1318			Ruangan Terapi Wicara Vokasional	-			Baik	
1319			Ruangan Terapi Wicara Audiometer	-			Baik	
1320			Ruangan GIP (OP)	-			Baik	
1321			Loker Petugas Bengkel OP	-			Baik	
1322			Ruangan Bengkel Halus/ Kerja Kayu	-			Baik	
1323			Ruangan Bengkel Kasar/ kerja pembuatan	-			Baik	
1324			Ruangan Jahit/ Kulit (OP)	-			Baik	
1325			Ruangan Penyimpanan Barang Jadi (OP)	-			Baik	
1327			"Ruangan Penyetelan/ Fitting Room; (OP)"	-			Baik	
1330			Ruangan PSM	-			Baik	
1333			Gudang Peralatan Rehab Medik	-			Baik	
1335			Gudang Linen dan Farmasi	Ada	2018		Baik	
1338			Gudang Kotor	-			Baik	
1339			Ruangan Kepala IRM	-			Baik	
1340			Ruangan Petugas RM	-	2016		Baik	
1341			Dapur Kecil (Pantry)	-			Baik	
1342			KM/WC Petugas	-			Baik	
1343			KM/WC Pasien	-	2016		Baik	
1708			Gudang Bahan Baku	-			Baik	
156			Ruang Tindakan (Rehabilitasi Medik)	-			Baik	
1356			Ruangan Fisioterapi Rawat Inap	-			Baik	
1357			Ruangan Fisioterapi Rawat Jalan	-			Baik	
1358			Ruangan Psikiatri	-			Baik	
1359			Ruangan Rohaniawan	-			Baik	
1360			Ruangan Dokter	-			Baik	
1361			Ruangan Diskusi	-			Baik	
1566			Ruangan Rehabilitasi Mental & Sosial	-			Baik	
90209			Ruangan Akupuntur	-			Baik	
**		Instalasi Farmasi						
1034			Ruangan Peracikan Obat	Ada	2016	2018	Baik	
1035			Depo/ ruang bahan baku obat	Ada	2016		Baik	
1037			Depo/ ruang obat jadi	Ada	2016		Baik	
1038			Ruangan Administrasi (Penerimaan dan Distribusi Obat)	Ada	2016		Baik	
1041			Konter Apotik Utama (Loket Penerimaan Resep, Loket Pembayaran, dan Loket Pengambilan Obat)	Ada	2016		Baik	
1044			Ruangan Arsip Dokumen dan Perpustakaan)	Ada	2016		Baik	
1046			Ruangan Kepala Instalasi Farmasi	Ada	2016		Baik	
1047			Ruangan Petugas	Ada	2016		Baik	
1055			Ruangan Apoteker	Ada	2016		Baik	
1115			Gudang Perbekalan dan Alat Kesehatan	Ada	2016		Baik	
1116			Depo/ Ruang Obat Khusus	Ada	2016	2018	Baik	
1048			Ruangan Tunggu	Ada	2015		Baik	
1052			KM/WC Petugas	-			Baik	
1054			Unit Apotik Satelit	-			Baik	
1042			Ruangan Loker Petugas (Pria dan Wanita dipisah)	-			Baik	
1050			Dapur Kecil (Pantry)	-			Baik	
1380			Ruangan Administrasi	-			Baik	
1381			Ruangan Rapat	-			Baik	
1382			Gudang Obat 1	-			Baik	
1383			Gudang Obat 2	-			Baik	
1384			Gudang Obat 3	-			Baik	
1385			Gudang Infus	Ada	2021		Baik	
1386			Gudang Bahan B3	-			Baik	
1387			Gudang Penyimpanan Cetakan	-			Baik	
1388			Apotik Rawat Inap	Ada	2022		Baik	
1389			Apotik Rawat Jalan	Ada	2018		Baik	
1390			Apotik Obat Tradisional	-			Baik	
**		Instalasi Pemulasaraan Jenazah						
1073			Ruangan Administrasi	-			Baik	
1074			Ruangan Tunggu Keluarga Jenazah	-			Baik	
1076			Ruangan Duka (Dilengkapi Toilet)	-			Baik	
1078			Gudang Perlengkapan Ruang Duka	-			Baik	
1079			Ruangan Dekontaminasi dan Pemulasaraan Jenazah	-			Baik	
1083			Ruangan Pendingin Jenazah (pengawetan jenazah)	-			Baik	
1086			Ruangan Ganti Pakaian APD (Dilengkapi Toilet)	-			Baik	
1089			Ruangan Kepala Instalasi Pemulasaraan Jenazah	-			Baik	
1096			KM/WC (Toilet Petugas)	-			Baik	
1098			KM/WC (Toilet Pengunjung)	-			Baik	
1082			Laboratorium Otopsi	-			Baik	
1094			Gudang Instalasi Forensik	-			Baik	
1092			Ruangan Jemur Alat	-			Baik	
**		Laboratorium Kedokteran Forensik dan Medikolegal						
1180			Ruangan Pemeriksaan/Penilaian Dokter	-			Baik	
1185			Ruangan Administrasi, Keuangan dan Personalia	-			Baik	
1183			Ruang Pendaftaran dan Pendataan	-			Baik	
1197			Ruangan Tunggu Pasien dan Pengantar Pasien	-			Baik	
**		Bank Darah/ Unit Transfusi Darah (BDRS/UTDRS)						
1136			Ruang Administrasi	-			Baik	
1138			Loket Permintaan Darah	-			Baik	
1139			Loket Pengambilan Darah	-			Baik	
1141			Loket Pembayaran	-			Baik	
1143			Ruangan Tunggu	-			Baik	
1146			Ruangan Penyimpanan Darah (Blood Bank Room)	-			Baik	
1149			Laboratorium Skrining Darah (Blood Screening Lab.)/Pemeriksaan Pra Transfusi	-			Baik	
1154			Ruangan Donor Darah	-			Baik	
1156			Ruangan Pemberian Makanan Pasca Donor	-			Baik	
1159			Ruangan Kepala dan Staf BDRS/UTDRS	-			Baik	
1160			Ruangan Distribusi	-			Baik	
1162			KM/WC Petugas	-			Baik	
1163			KM/WC Pendonor	-			Baik	
1420			Ruangan Cross Matching	-			Baik	
1421			Laboratorium Cryogenic	-			Baik	
1422			Gudang	-			Baik	
**		Unit Hemodialisa						
1212			Ruangan Administrasi	-			Baik	
1214			Ruangan Tunggu	-			Baik	
1215			Ruangan Cuci Darah	-			Baik	
1216			Ruangan Isolasi Cuci Darah	-			Baik	
1221			Ruangan Pencucian Filter (Reuse Filter Cleaning)	-			Baik	
1217			Ruangan Stasi Perawat (Nurse Station)	-			Baik	
1219			Ruangan Reverse Osmosis (RO) dan Sterilisasi UV	-			Baik	
1218			Ruangan Konsultasi/ Pemeriksaan	-			Baik	
1220			Ruangan Tangki Harian (Ready to Use Tank)	-			Baik	
**		Instalasi Kedokteran Nuklir						
1010			Ruangan Konsultasi Dokter	-			Baik	
1002			Ruangan Resepsionis/Pendaftaran/Kasir/Pengambilan Hasil	-			Baik	
1003			Ruangan Administrasi	-			Baik	
1004			Ruangan Tunggu Pasien dan Pengantar Pasien	-			Baik	
1005			Ruangan Preparasi	-			Baik	
1007			Ruangan Isolasi Radioaktif	-			Baik	
1008			Ruangan Hot Lab	-			Baik	
1009			Ruangan Arsip dan Rekam Medis	-			Baik	
1011			Ruangan Pemberian Dosis/Radiofarmaka	-			Baik	
1012			Ruangan Tunggu Pasien setelah pemberian Radiofarmaka	-			Baik	
1015			Ruangan Radioassay	-			Baik	
1013			Toilet Pasien yang sudah mendapat Radiofarmaka	-			Baik	
1016			Ruangan Thyroid Uptake/Gamma Probe	-			Baik	
1017			Ruangan Gamma Kamera (dilengkapi Ruang Operator)	-			Baik	
1018			Ruangan Pembacaan Hasil	-			Baik	
1019			Gudang Umum	-			Baik	
1021			Ruangan Dekontaminasi	-			Baik	
1023			Ruangan Istirahat Dokter dan Petugas	-			Baik	
1026			Toilet Pasien (umum)	-			Baik	
1028			Toilet Pimpinan dan Staf	-			Baik	
1110			Ruangan Penyimpanan Sementara Limbah Radioaktif Padat	-			Baik	
**		Bagian Litbang						
1513			Ruangan Cold Room	-			Baik	
1503			Ruangan Kepala	-			Baik	
1504			Ruangan Administrasi	-			Baik	
1506			Ruangan Registrasi	-			Baik	
1505			Ruangan Rapat	-			Baik	
1507			Ruang Penyimpanan Dokumen	-			Baik	
1508			Ruang Penyimpanan Obat	-			Baik	
1509			Ruangan Lab Kultur	-			Baik	
1510			Ruangan Kultur Sel	-			Baik	
1511			Ruangan Lab RNA	-			Baik	
1512			Ruangan Analisis	-			Baik	
1514			Ruangan AHU	-			Baik	
1515			Ruangan Lab Mikrobiologi	-			Baik	
1516			Ruangan Biologi Molekuler	-			Baik	
1517			Ruangan Bank Sample	-			Baik	
1518			Gudang Alkes dan Reagent	-			Baik	
1519			Ruangan Pembuatan Air Aquadest	-			Baik	
1520			Ruangan Elektroforesis	-			Baik	
1521			Gudang ATK	-			Baik	
1522			Gudang 1	-			Baik	
**		Instalasi Patologi Klinik						
1364			Ruangan Administrasi Pendaftaran	-			Baik	
1365			Ruangan Pengambilan Hasil	-			Baik	
1366			Ruangan Persiapan Sampel	-			Baik	
1367			Ruangan Mikrobiologi	-			Baik	
1369			Ruangan Kimia Klinik	-			Baik	
1368			Ruangan Hematologi	-			Baik	
1371			Ruangan Flowcytometri	-			Baik	
1370			Ruangan Diagnostik Molekuler	-			Baik	
1372			Gudang Alkes Reagensia	-			Baik	
1373			Ruangan Cuci Alkes Habis Pakai	-			Baik	
1374			Ruangan Kepala Instalasi	-			Baik	
1375			Ruangan Staf Dokter	-			Baik	
1377			Ruangan Arsip	-			Baik	
1376			Ruang Rapat Instalasi	-			Baik	
1378			Pantry	-			Baik	
1379			Toilet Petugas	-			Baik	
**		Instalasi Patologi Anatomi						
1399			Ruangan Kepala Instalasi	-			Baik	
1400			Gudang Alkes Reagensia	-			Baik	
1402			Ruangan Histopatologi	-			Baik	
1401			Ruangan Citologi	-			Baik	
**		Instalasi Radiologi						
121			Ruangan Radiodiagnostik	-			Baik	
608			Ruang Kedokteran Nuklir	-			Baik	
607			Ruang Radioterapi	-			Baik	
931			Ruangan Administrasi	-			Baik	
932			Ruangan Tunggu	-			Baik	
1344			Loket Pendaftaran, Pembayaran dan Pengambilan Hasil	-			Baik	
*	Penunjang Non Medik RS							
**		Sentra Oksigen Cair						
180			Sentra Oksigen Cair	-			Baik	
**		Instalasi Dapur Utama dan Gizi Klinik						
1064			Ruangan Penerimaan dan Penimbangan Bahan Makanan	Ada	2017		Baik	
1065			Ruangan Penyimpanan bahan makanan basah	Ada	2017		Baik	
1067			Ruangan penyimpanan bahan makanan kering	Ada	2017		Baik	
1068			Ruang / Area Persiapan	Ada	2017		Baik	
1069			Ruangan Pengolahan/ Memasak dan Penghangatan Makanan	Ada	2017		Baik	
1070			Ruangan Cuci	Ada	2017		Baik	
1071			Ruangan Penyimpanan Troli Gizi	Ada	2017		Baik	
1072			Ruangan Penyimpanan Peralatan Dapur	Ada	2017		Baik	
1077			Ruangan Administrasi	Ada	2017		Baik	
1080			Ruangan Kepala Instalasi Gizi	Ada	2017		Baik	
1081			Janitor	Ada	2017		Baik	
1095			Ruangan Petugas Jaga Dapur	Ada	2017		Baik	
1127			Ruangan Pembagian/ Penyajian Makanan	Ada	2017		Baik	
1102			KM/WC petugas	Ada	2015		Baik	
1088			Gudang Alat	Ada	2017		Baik	
1075			Ruangan Ganti Alat Pelindung Diri (APD) dan Loker	-			Baik	
1085			Ruangan Pengaturan dan Penyimpanan Tabung Gas Elpiji	-			Baik	
1100			Ruangan Nutrisionis	Ada	2017		Baik	
**		Instalasi Sanitasi						
1168			Ruang Kerja dan Arsip	Ada	2017	2018	Baik	
1231			Area Pengolahan Air Limbah	Ada	2017		Baik	
1232			Area Pengelolaan Limbah Padat	Ada	2017		Baik	
1233			Area TPS	Ada	2017		Baik	
1234			KM/WC Petugas	Ada	2017		Baik	
**		Instalasi Pencucian Linen/ Laundri						
1124			Ruangan Administrasi dan Pencatatan	Ada	2016		Baik	
1126			Ruangan Penerimaan dan Sortir	Ada	2016		Baik	
1128			Ruangan Setrika dan Pengeringan Laundri	Ada	2016		Baik	
1130			Ruangan Penyimpanan Linen	Ada	2016		Baik	
1132			Ruangan Cuci Linen	Ada	2016		Baik	
1133			Ruangan Pengeringan Linen	Ada	2016		Baik	
1153			KM/WC Petugas	Ada	2016		Baik	
1125			Ruangan Kepala Laundri	Ada	2016		Baik	
1129			Ruangan Perbaikan Linen / Jahit	-			Baik	
1135			Ruangan Dekontaminasi Troli	Ada	2022		Baik	
1148			Ruangan Penyimpanan Troli	Ada	2016		Baik	
1151			Gudang Bahan Kimia	-			Baik	
**		Instalasi Pemeliharaan Sarana (Workshop)						
1170			Ruangan Kepala IPSRS	Ada	2016	2018	Baik	
1173			Ruangan Administrasi (Pencatatan) dan Ruang Kerja Staf	Ada	2016	2018	Baik	
1194			Gudang Spare Part	Ada	2016		Baik	
1196			KM/WC Petugas	Ada	2016		Baik	
1174			Ruangan Rapat/ Pertemuan Teknis	Ada	2018		Baik	
1177			Bengkel/ Work Shop	Ada	2018		Baik	
1195			Gudang Alat Rusak	Ada	2016		Baik	
1175			Ruangan Studio Gambar dan Arsip Teknis	-			Baik	
1184			Bengkel/ Worshop Bangunan/ Kayu	-			Baik	
1186			Bengkel/ Workshop metal/logam	-			Baik	
1187			Bengkel/ Workshop Peralatan Medik (Optik, Elektromedik, Mekanik)	Ada	2018		Baik	
1188			Bengkel/ Workshop penunjang medik	Ada	2020		Baik	
1189			Ruang Panel Listrik	Ada	2022		Baik	
1190			Ruang Trafo	-			Baik	
1191			Ruangan Genset	Ada	2016		Baik	
1192			Ruang Pompa	-			Baik	
1193			Ruang Boiler	-			Baik	
**		Sentra Gas LPG						
185			Sentra Gas LPG	-			Baik	
**		Asrama / Wisma						
182			Wisma	-			Baik	
181			Asrama	-			Baik	
**		Sentra Air Bersih						
177			Sentra Air Bersih	Ada	2016		Baik	
**		Instalasi Sterilisasi Pusat / CSSD						
1203			Ruangan Penerimaan Linen Bersih Siap Sterilisasi	Ada	2018		Baik	
1202			Gudang Steril	Ada	2018		Baik	
1204			Ruangan Kepala Instalasi CSSD	Ada	2018		Baik	
1205			Ruangan Ganti Petugas (Loker)	Ada	2018		Baik	
1206			Ruangan Staf/ Petugas	Ada	2018		Baik	
1207			KM/WC Petugas	Ada	2018		Baik	
1198			Ruangan Penerimaan	Ada	2018		Baik	
1199			Ruangan Dekontaminasi	Ada	2018		Baik	
1200			Ruangan Mesin Sterilisasi	Ada	2018		Baik	
1201			Ruangan Pengemasan/ Persiapan Alat	Ada	2018		Baik	
1483			Ruangan Kepala	Ada	2017		Baik	
**		Sentra Gas Medis						
178			Sentra Gas Medis	Ada	2018		Baik	
**		Sentra Hidran						
179			Sentra Hidran	Ada	2016		Baik	
**		Tempat Ibadah						
1346			Mushola	Ada	2015		Baik	
**		Kantin						
189			Kantin	Ada	2018		Baik	
**		Listrik						
173			Genset	Ada	2016		Baik	
174			UPS	Ada	2018		Baik	
**		Boiler						
172			Boiler	-			Baik	
**		Instalasi Pemeliharaan Sarana Medis						
1547			Ruangan Kepala Instalasi	-			Baik	
1549			Ruangan Administrasi/Kantor	-			Baik	
1550			Ruangan Istirahat	-			Baik	
1551			Toilet Petugas	-			Baik	
1548			Ruangan Workshop	-			Baik	
**		Instalasi Pemeliharaan Sarana Non Medis						
1542			Ruangan Kepala Instalasi	Ada	2023		Baik	Ruangan workshop
1543			Ruangan Workshop	Ada	2018		Baik	
1544			Ruangan Administrasi/Kantor	-			Baik	
1545			Toilet Petugas	-			Baik	
1546			Ruangan Istirahat	-			Baik	
*	Area Penunjang Umum dan Administrasi RS							
**		Ruangan Bagian Pendidikan dan Pelatihan beserta Seksi-seksinya						
1297			Ruangan Bagian Pendidikan dan Pelatihan	Ada	2022		Baik	
1292			Ruangan Kepala Bagian Pendidikan dan Pelatihan	Ada	2016		Baik	
**		Dapur Kecil (pantry)						
1336			Dapur Kecil (pantry)	-			Baik	
**		Ruangan Rapat dan Diskusi						
1328			Ruangan Rapat dan Diskusi	Ada	2016		Baik	
**		Ruangan bagian SDM						
1304			Ruangan Kepala Bagian SDM	Ada	2016	2018	Baik	
1305			Ruangan Bagian SDM	Ada	2016	2018	Baik	
**		Ruangan Arsip/file						
1331			Ruangan Arsip/file	Ada	2016	2018	Baik	
**		Ruangan Tunggu						
1332			Ruangan Tunggu	Ada	2016		Baik	
**		Toilet						
1337			Toilet	Ada	2016		Baik	
**		Ruangan bagian Keuangan dan Program						
119			Ruangan Bagian Keuangan dan Program beserta Sub Bagian-bagiannya	Ada	2016		Baik	
1288			Ruangan Kepala Bagian Keuangan dan Program	Ada	2016		Baik	
**		Ruangan bidang pelayanan medis beserta seksi-seksinya						
1211			Ruangan Kepala Bidang Pelayanan	Ada	2016		Baik	
1279			Ruangan Bidang Pelayanan	-			Baik	
**		Ruangan Bidang Keperawatan beserta Seksi-seksinya						
1208			Ruangan Kepala Bidang Keperawatan	Ada	2016		Baik	
1209			Ruangan Bidang Keperawatan	-			Baik	
**		Ruangan Komite Medis						
1213			Ruangan Kepala Komite Medis	Ada	2016		Baik	
196			Ruangan Komite Medis	-			Baik	
**		Ruangan Bidang Pelayanan Penunjang Medik dan Seksinya						
1289			Ruangan Kepala Bidang Pelayanan Penunjang Medik 	Ada	2016		Baik	
1290			Ruangan Bidang Pelayanan Penunjang Medik	-			Baik	
**		Ruangan bagian Kesekretariatan dan Rekam Medis beserta Sub Bagian-bagiannya						
1308			Ruangan Kepala Bagian Kesekretariatan beserta seksi-seksinya	-			Baik	
120			Ruangan Bagian Rekam Medis 	Ada	2016		Baik	
**		Ruangan Sekretaris Direktur						
1326			Ruangan Sekretaris Direktur	Ada	2021		Baik	
**		Ruangan Direksi						
152			Direksi	Ada	2018		Baik	
**		Janitor						
1334			Janitor	-			Baik	
::end::								
